Radius_[mm],Normalized_Integrated_Intensity
0.03571,5647.28564
0.07143,5716.62500
0.10714,5815.31836
0.14286,5809.95850
0.17857,5842.00000
0.21429,5825.63086
0.25000,5788.47510
0.28571,5824.53760
0.32143,5820.40527
0.35714,5828.12500
0.39286,5849.20850
0.42857,5838.65381
0.46429,5821.74316
0.50000,5826.36182
0.53571,5826.89893
0.57143,5826.51709
0.60714,5842.92773
0.64286,5885.78809
0.67857,5883.08154
0.71429,5868.50928
0.75000,5878.43066
0.78571,5886.86670
0.82143,5881.47168
0.85714,5897.63330
0.89286,5878.98877
0.92857,5903.41406
0.96429,5935.65723
1.00000,5953.76465
1.03571,5976.83887
1.07143,6033.73877
1.10714,6685.61328
1.14286,8653.99414
1.17857,11250.04785
1.21429,12591.97070
1.25000,12741.41895
1.28571,12794.58691
1.32143,12824.08984
1.35714,12825.83203
1.39286,12837.09766
1.42857,12837.97559
1.46429,12843.80566
1.50000,12851.84277
1.53571,12875.24805
1.57143,12871.51270
1.60714,12857.18750
1.64286,12864.83691
1.67857,12891.15332
1.71429,12887.98438
1.75000,12885.33203
1.78571,12896.33301
1.82143,12885.79004
1.85714,12900.79004
1.89286,12918.59668
1.92857,12912.80078
1.96429,12914.04980
2.00000,12914.06348
2.03571,12928.80566
2.07143,12933.40527
2.10714,12934.15527
2.14286,12948.82520
2.17857,12942.90039
2.21429,12929.51172
2.25000,12936.23535
2.28571,12948.28516
2.32143,12945.64258
2.35714,12938.83984
2.39286,12942.25977
2.42857,12959.51074
2.46429,12961.74902
2.50000,12965.89355
2.53571,12977.97461
2.57143,12962.62402
2.60714,12958.84082
2.64286,12957.83301
2.67857,13015.60645
