,frequency [1/mm],MTF
0,0.0,1.0
1,0.912,0.986
2,1.823,0.968
3,2.735,0.956
4,3.647,0.877
5,4.558,0.725
6,5.47,0.626
7,6.382,0.59
8,7.293,0.518
9,8.205,0.421
10,9.117,0.33
11,10.028,0.263
12,10.94,0.202
13,11.852,0.146
14,12.763,0.117
15,13.675,0.091
16,14.587,0.067
17,15.498,0.048
18,16.41,0.028
19,17.322,0.013
20,18.233,0.008
21,19.145,0.007
22,20.057,0.008
23,20.968,0.013
24,21.88,0.016
25,22.792,0.017
26,23.703,0.017
27,24.615,0.016
28,25.527,0.014
29,26.438,0.014
30,27.35,0.013
31,28.262,0.011
32,29.173,0.009
33,30.085,0.007
34,30.997,0.005
35,31.908,0.003
36,32.82,0.002
37,33.732,0.001
38,34.643,0.001
39,35.555,0.0
40,36.467,0.0
41,37.378,0.0
42,38.29,0.0
43,39.202,0.0
44,40.113,0.0
45,41.025,0.001
46,41.937,0.001
47,42.848,0.001
48,43.76,0.002
49,44.672,0.002
50,45.583,0.002
51,46.495,0.002
52,47.407,0.002
53,48.318,0.002
54,49.23,0.002
55,50.142,0.002
56,51.053,0.002
57,51.965,0.001
58,52.877,0.001
59,53.788,0.001
60,54.7,0.0
61,55.612,0.0
62,56.523,0.0
63,57.435,0.0
64,58.347,0.001
65,59.258,0.001
66,60.17,0.001
67,61.082,0.001
68,61.993,0.001
69,62.905,0.001
70,63.817,0.001
71,64.728,0.001
72,65.64,0.001
73,66.552,0.001
74,67.463,0.001
75,68.375,0.0
76,69.287,0.0
77,70.198,0.0
78,71.11,0.0
79,72.022,0.0
80,72.933,0.0
81,73.845,0.0
82,74.757,0.0
83,75.668,0.0
84,76.58,0.0
85,77.492,0.0
86,78.403,0.0
87,79.315,0.0
88,80.227,0.0
89,81.138,0.0
90,82.05,0.0
91,82.962,0.0
92,83.873,0.0
93,84.785,0.0
94,85.697,0.0
95,86.608,0.0
96,87.52,0.0
97,88.432,0.0
98,89.343,0.0
99,90.255,0.0
100,91.167,0.0
101,92.078,0.0
102,92.99,0.0
103,93.902,0.0
104,94.813,0.0
105,95.725,0.0
106,96.637,0.0
107,97.549,0.0
108,98.46,0.0
109,99.372,0.0
110,100.284,0.0
111,101.195,0.0
112,102.107,0.0
113,103.019,0.0
114,103.93,0.0
115,104.842,0.0
116,105.754,0.0
117,106.665,0.0
118,107.577,0.0
119,108.489,0.0
120,109.4,0.0
121,110.312,0.0
122,111.224,0.0
123,112.135,0.0
124,113.047,0.0
125,113.959,0.0
126,114.87,0.0
127,115.782,0.0
128,116.694,0.0
129,117.605,0.0
130,118.517,0.0
131,119.429,0.0
132,120.34,0.0
133,121.252,0.0
134,122.164,0.0
135,123.075,0.0
136,123.987,0.0
137,124.899,0.0
138,125.81,0.0
139,126.722,0.0
140,127.634,0.0
141,128.545,0.0
142,129.457,0.0
143,130.369,0.0
144,131.28,0.0
145,132.192,0.0
146,133.104,0.0
147,134.015,0.0
148,134.927,0.0
149,135.839,0.0
150,136.75,0.0
151,137.662,0.0
152,138.574,0.0
153,139.485,0.0
154,140.397,0.0
155,141.309,0.0
156,142.22,0.0
157,143.132,0.0
158,144.044,0.0
159,144.955,0.0
160,145.867,0.0
161,146.779,0.0
162,147.69,0.0
163,148.602,0.0
164,149.514,0.0
165,150.425,0.0
166,151.337,0.0
167,152.249,0.0
168,153.16,0.0
169,154.072,0.0
170,154.984,0.0
171,155.895,0.0
172,156.807,0.0
173,157.719,0.0
174,158.63,0.0
175,159.542,0.0
176,160.454,0.0
177,161.365,0.0
178,162.277,0.0
179,163.189,0.0
180,164.1,0.0
181,165.012,0.0
182,165.924,0.0
183,166.835,0.0
184,167.747,0.0
185,168.659,0.0
186,169.57,0.0
187,170.482,0.0
188,171.394,0.0
189,172.305,0.0
190,173.217,0.0
191,174.129,0.0
192,175.04,0.0
193,175.952,0.0
194,176.864,0.0
195,177.775,0.0
196,178.687,0.0
197,179.599,0.0
198,180.51,0.0
199,181.422,0.0
200,182.334,0.0
201,183.245,0.0
202,184.157,0.0
203,185.069,0.0
204,185.98,0.0
205,186.892,0.0
206,187.804,0.0
