,frequency [1/mm],MTF
0,0.0,1.0
1,0.377,0.948
2,0.753,0.877
3,1.13,0.849
4,1.506,0.83
5,1.883,0.815
6,2.26,0.8
7,2.636,0.783
8,3.013,0.773
9,3.389,0.757
10,3.766,0.749
11,4.143,0.751
12,4.519,0.749
13,4.896,0.744
14,5.272,0.717
15,5.649,0.652
16,6.025,0.565
17,6.402,0.497
18,6.779,0.449
19,7.155,0.434
20,7.532,0.399
21,7.908,0.313
22,8.285,0.254
23,8.662,0.219
24,9.038,0.178
25,9.415,0.138
26,9.791,0.095
27,10.168,0.075
28,10.545,0.072
29,10.921,0.072
30,11.298,0.07
31,11.674,0.043
32,12.051,0.016
33,12.428,0.023
34,12.804,0.03
35,13.181,0.026
36,13.557,0.011
37,13.934,0.018
38,14.311,0.012
39,14.687,0.013
40,15.064,0.02
41,15.44,0.015
42,15.817,0.008
43,16.193,0.01
44,16.57,0.02
45,16.947,0.02
46,17.323,0.017
47,17.7,0.015
48,18.076,0.014
49,18.453,0.016
50,18.83,0.019
51,19.206,0.019
52,19.583,0.019
53,19.959,0.018
54,20.336,0.019
55,20.713,0.019
56,21.089,0.015
57,21.466,0.013
58,21.842,0.012
59,22.219,0.011
60,22.596,0.01
61,22.972,0.008
62,23.349,0.006
63,23.725,0.004
64,24.102,0.003
65,24.479,0.002
66,24.855,0.002
67,25.232,0.001
68,25.608,0.001
69,25.985,0.0
70,26.361,0.0
71,26.738,0.0
72,27.115,0.0
73,27.491,0.0
74,27.868,0.0
75,28.244,0.0
76,28.621,0.0
77,28.998,0.0
78,29.374,0.0
79,29.751,0.0
80,30.127,0.0
81,30.504,0.0
82,30.881,0.001
83,31.257,0.001
84,31.634,0.001
85,32.01,0.001
86,32.387,0.002
87,32.764,0.002
88,33.14,0.003
89,33.517,0.003
90,33.893,0.003
91,34.27,0.003
92,34.647,0.003
93,35.023,0.003
94,35.4,0.004
95,35.776,0.003
96,36.153,0.003
97,36.529,0.003
98,36.906,0.003
99,37.283,0.002
100,37.659,0.002
101,38.036,0.001
102,38.412,0.001
103,38.789,0.001
104,39.166,0.002
105,39.542,0.001
106,39.919,0.001
107,40.295,0.001
108,40.672,0.001
109,41.049,0.001
110,41.425,0.0
111,41.802,0.001
112,42.178,0.001
113,42.555,0.0
114,42.932,0.001
115,43.308,0.001
116,43.685,0.0
117,44.061,0.0
118,44.438,0.001
119,44.815,0.001
120,45.191,0.001
121,45.568,0.001
122,45.944,0.001
123,46.321,0.001
124,46.697,0.001
125,47.074,0.001
126,47.451,0.001
127,47.827,0.001
128,48.204,0.001
129,48.58,0.001
130,48.957,0.001
131,49.334,0.001
132,49.71,0.001
133,50.087,0.001
134,50.463,0.001
135,50.84,0.001
136,51.217,0.001
137,51.593,0.0
138,51.97,0.0
139,52.346,0.0
140,52.723,0.0
141,53.1,0.0
142,53.476,0.0
143,53.853,0.0
144,54.229,0.0
145,54.606,0.0
146,54.983,0.0
147,55.359,0.0
148,55.736,0.0
149,56.112,0.0
150,56.489,0.0
151,56.865,0.0
152,57.242,0.0
153,57.619,0.0
154,57.995,0.0
155,58.372,0.0
156,58.748,0.0
157,59.125,0.0
158,59.502,0.0
159,59.878,0.0
160,60.255,0.0
161,60.631,0.0
162,61.008,0.0
163,61.385,0.0
164,61.761,0.0
165,62.138,0.0
166,62.514,0.0
167,62.891,0.001
168,63.268,0.001
169,63.644,0.001
170,64.021,0.001
171,64.397,0.0
172,64.774,0.0
173,65.151,0.0
174,65.527,0.0
175,65.904,0.0
176,66.28,0.0
177,66.657,0.0
178,67.033,0.0
179,67.41,0.0
180,67.787,0.0
181,68.163,0.0
182,68.54,0.0
183,68.916,0.0
184,69.293,0.0
185,69.67,0.0
186,70.046,0.0
187,70.423,0.0
188,70.799,0.0
189,71.176,0.0
190,71.553,0.0
191,71.929,0.0
192,72.306,0.0
193,72.682,0.0
194,73.059,0.0
195,73.436,0.0
196,73.812,0.0
197,74.189,0.0
198,74.565,0.0
199,74.942,0.0
200,75.319,0.0
201,75.695,0.0
202,76.072,0.0
203,76.448,0.0
204,76.825,0.0
205,77.201,0.0
206,77.578,0.0
207,77.955,0.0
208,78.331,0.0
209,78.708,0.0
210,79.084,0.0
211,79.461,0.0
212,79.838,0.0
213,80.214,0.0
214,80.591,0.0
215,80.967,0.0
216,81.344,0.0
217,81.721,0.0
218,82.097,0.0
219,82.474,0.0
220,82.85,0.0
221,83.227,0.0
222,83.604,0.0
223,83.98,0.0
224,84.357,0.0
225,84.733,0.0
226,85.11,0.0
227,85.487,0.0
228,85.863,0.0
229,86.24,0.0
230,86.616,0.0
231,86.993,0.0
232,87.369,0.0
233,87.746,0.0
234,88.123,0.0
235,88.499,0.0
236,88.876,0.0
237,89.252,0.0
238,89.629,0.0
239,90.006,0.0
240,90.382,0.0
241,90.759,0.0
242,91.135,0.0
243,91.512,0.0
244,91.889,0.0
245,92.265,0.0
246,92.642,0.0
247,93.018,0.0
248,93.395,0.0
249,93.772,0.0
250,94.148,0.0
251,94.525,0.0
252,94.901,0.0
253,95.278,0.0
254,95.654,0.0
255,96.031,0.0
256,96.408,0.0
257,96.784,0.0
258,97.161,0.0
259,97.537,0.0
260,97.914,0.0
261,98.291,0.0
262,98.667,0.0
263,99.044,0.0
264,99.42,0.0
265,99.797,0.0
266,100.174,0.0
267,100.55,0.0
268,100.927,0.0
269,101.303,0.0
270,101.68,0.0
271,102.057,0.0
272,102.433,0.0
273,102.81,0.0
274,103.186,0.0
275,103.563,0.0
276,103.94,0.0
277,104.316,0.0
278,104.693,0.0
279,105.069,0.0
280,105.446,0.0
281,105.822,0.0
282,106.199,0.0
283,106.576,0.0
284,106.952,0.0
285,107.329,0.0
286,107.705,0.0
287,108.082,0.0
288,108.459,0.0
289,108.835,0.0
290,109.212,0.0
291,109.588,0.0
292,109.965,0.0
293,110.342,0.0
294,110.718,0.0
295,111.095,0.0
296,111.471,0.0
297,111.848,0.0
298,112.225,0.0
299,112.601,0.0
300,112.978,0.0
301,113.354,0.0
302,113.731,0.0
303,114.108,0.0
304,114.484,0.0
305,114.861,0.0
306,115.237,0.0
307,115.614,0.0
308,115.99,0.0
309,116.367,0.0
310,116.744,0.0
311,117.12,0.0
312,117.497,0.0
313,117.873,0.0
314,118.25,0.0
315,118.627,0.0
316,119.003,0.0
317,119.38,0.0
318,119.756,0.0
319,120.133,0.0
320,120.51,0.0
321,120.886,0.0
322,121.263,0.0
323,121.639,0.0
324,122.016,0.0
325,122.393,0.0
326,122.769,0.0
327,123.146,0.0
328,123.522,0.0
329,123.899,0.0
330,124.276,0.0
331,124.652,0.0
332,125.029,0.0
333,125.405,0.0
334,125.782,0.0
335,126.158,0.0
336,126.535,0.0
337,126.912,0.0
338,127.288,0.0
339,127.665,0.0
340,128.041,0.0
341,128.418,0.0
342,128.795,0.0
343,129.171,0.0
344,129.548,0.0
345,129.924,0.0
346,130.301,0.0
347,130.678,0.0
348,131.054,0.0
349,131.431,0.0
350,131.807,0.0
351,132.184,0.0
352,132.561,0.0
353,132.937,0.0
354,133.314,0.0
355,133.69,0.0
356,134.067,0.0
357,134.444,0.0
358,134.82,0.0
359,135.197,0.0
360,135.573,0.0
361,135.95,0.0
362,136.326,0.0
363,136.703,0.0
364,137.08,0.0
365,137.456,0.0
366,137.833,0.0
367,138.209,0.0
368,138.586,0.0
369,138.963,0.0
370,139.339,0.0
371,139.716,0.0
372,140.092,0.0
373,140.469,0.0
