Distance_(mm),Gray_Value
0.000000,0
0.002500,0
0.005000,0
0.007500,0
0.010000,0
0.012500,0
0.015000,0
0.017500,0
0.020000,0
0.022500,0
0.025000,0
0.027500,0
0.030000,0
0.032500,0
0.035000,0
0.037500,0
0.040000,0
0.042500,1
0.045000,1
0.047500,1
0.050000,1
0.052500,1
0.055000,1
0.057500,1
0.060000,1
0.062500,1
0.065000,1
0.067500,1
0.070000,1
0.072500,1
0.075000,1
0.077500,1
0.080000,1
0.082500,1
0.085000,2
0.087500,2
0.090000,2
0.092500,2
0.095000,2
0.097500,2
0.100000,2
0.102500,2
0.105000,2
0.107500,2
0.110000,3
0.112500,3
0.115000,3
0.117500,3
0.120000,3
0.122500,3
0.125000,4
0.127500,4
0.130000,4
0.132500,4
0.135000,4
0.137500,5
0.140000,5
0.142500,5
0.145000,5
0.147500,6
0.150000,6
0.152500,6
0.155000,6
0.157500,7
0.160000,7
0.162500,7
0.165000,8
0.167500,8
0.170000,9
0.172500,9
0.175000,9
0.177500,10
0.180000,10
0.182500,11
0.185000,11
0.187500,12
0.190000,12
0.192500,13
0.195000,13
0.197500,14
0.200000,14
0.202500,15
0.205000,15
0.207500,16
0.210000,17
0.212500,17
0.215000,18
0.217500,19
0.220000,19
0.222500,20
0.225000,21
0.227500,22
0.230000,23
0.232500,23
0.235000,24
0.237500,25
0.240000,26
0.242500,27
0.245000,28
0.247500,29
0.250000,30
0.252500,31
0.255000,32
0.257500,33
0.260000,34
0.262500,35
0.265000,36
0.267500,37
0.270000,39
0.272500,40
0.275000,41
0.277500,42
0.280000,44
0.282500,45
0.285000,46
0.287500,48
0.290000,49
0.292500,50
0.295000,52
0.297500,53
0.300000,55
0.302500,56
0.305000,58
0.307500,59
0.310000,61
0.312500,62
0.315000,64
0.317500,66
0.320000,67
0.322500,69
0.325000,71
0.327500,72
0.330000,74
0.332500,76
0.335000,78
0.337500,80
0.340000,81
0.342500,83
0.345000,85
0.347500,87
0.350000,89
0.352500,91
0.355000,93
0.357500,95
0.360000,96
0.362500,98
0.365000,100
0.367500,102
0.370000,104
0.372500,106
0.375000,108
0.377500,110
0.380000,112
0.382500,114
0.385000,116
0.387500,118
0.390000,120
0.392500,122
0.395000,124
0.397500,126
0.400000,129
0.402500,131
0.405000,133
0.407500,135
0.410000,137
0.412500,139
0.415000,141
0.417500,143
0.420000,145
0.422500,147
0.425000,149
0.427500,151
0.430000,153
0.432500,155
0.435000,157
0.437500,159
0.440000,160
0.442500,162
0.445000,164
0.447500,166
0.450000,168
0.452500,170
0.455000,172
0.457500,174
0.460000,175
0.462500,177
0.465000,179
0.467500,181
0.470000,183
0.472500,184
0.475000,186
0.477500,188
0.480000,189
0.482500,191
0.485000,193
0.487500,194
0.490000,196
0.492500,197
0.495000,199
0.497500,200
0.500000,202
0.502500,203
0.505000,205
0.507500,206
0.510000,207
0.512500,209
0.515000,210
0.517500,211
0.520000,213
0.522500,214
0.525000,215
0.527500,216
0.530000,218
0.532500,219
0.535000,220
0.537500,221
0.540000,222
0.542500,223
0.545000,224
0.547500,225
0.550000,226
0.552500,227
0.555000,228
0.557500,229
0.560000,230
0.562500,231
0.565000,232
0.567500,232
0.570000,233
0.572500,234
0.575000,235
0.577500,236
0.580000,236
0.582500,237
0.585000,238
0.587500,238
0.590000,239
0.592500,240
0.595000,240
0.597500,241
0.600000,241
0.602500,242
0.605000,242
0.607500,243
0.610000,243
0.612500,244
0.615000,244
0.617500,245
0.620000,245
0.622500,246
0.625000,246
0.627500,246
0.630000,247
0.632500,247
0.635000,248
0.637500,248
0.640000,248
0.642500,249
0.645000,249
0.647500,249
0.650000,249
0.652500,250
0.655000,250
0.657500,250
0.660000,250
0.662500,251
0.665000,251
0.667500,251
0.670000,251
0.672500,251
0.675000,252
0.677500,252
0.680000,252
0.682500,252
0.685000,252
0.687500,252
0.690000,253
0.692500,253
0.695000,253
0.697500,253
0.700000,253
0.702500,253
0.705000,253
0.707500,253
0.710000,253
0.712500,253
0.715000,254
0.717500,254
0.720000,254
0.722500,254
0.725000,254
0.727500,254
0.730000,254
0.732500,254
0.735000,254
0.737500,254
0.740000,254
0.742500,254
0.745000,254
0.747500,254
0.750000,254
0.752500,254
0.755000,254
0.757500,255
0.760000,255
0.762500,255
0.765000,255
0.767500,255
0.770000,255
0.772500,255
0.775000,255
0.777500,255
0.780000,255
0.782500,255
0.785000,255
0.787500,255
0.790000,255
0.792500,255
0.795000,255
0.797500,255
0.800000,255
