Radius_[mm],Normalized_Integrated_Intensity
0.03571,1.07583
0.07143,1.04816
0.10714,1.06566
0.14286,1.10028
0.17857,1.08880
0.21429,1.07042
0.25000,1.05327
0.28571,1.07730
0.32143,1.10001
0.35714,1.08616
0.39286,1.09800
0.42857,1.10594
0.46429,1.08858
0.50000,1.06303
0.53571,1.06405
0.57143,1.07064
0.60714,1.07126
0.64286,1.06411
0.67857,1.06682
0.71429,1.07391
0.75000,1.07978
0.78571,1.06759
0.82143,1.06747
0.85714,1.05554
0.89286,1.05775
0.92857,1.04801
0.96429,1.04135
1.00000,1.04189
1.03571,1.05030
1.07143,1.04982
1.10714,1.05738
1.14286,1.04649
1.17857,1.02669
1.21429,1.03166
1.25000,1.03441
1.28571,1.03545
1.32143,1.03029
1.35714,1.02438
1.39286,1.02771
1.42857,1.01809
1.46429,1.02177
1.50000,1.02186
1.53571,1.01582
1.57143,1.01468
1.60714,1.01851
1.64286,1.01933
1.67857,1.00899
1.71429,1.00089
1.75000,1.00062
1.78571,1.00580
1.82143,1.00256
1.85714,0.99943
1.89286,0.99483
1.92857,0.98620
1.96429,0.98443
2.00000,0.98667
2.03571,0.98222
2.07143,0.97744
2.10714,0.98398
2.14286,0.97688
2.17857,0.97339
2.21429,0.96651
2.25000,0.96209
2.28571,0.96021
2.32143,0.96683
2.35714,0.96286
2.39286,0.95915
2.42857,0.95734
2.46429,0.94891
2.50000,0.93431
2.53571,0.93560
2.57143,0.94182
2.60714,0.94739
2.64286,0.94327
2.67857,0.93888
2.71429,0.93837
2.75000,0.93506
2.78571,0.91880
2.82143,0.92015
2.85714,0.91868
2.89286,0.92220
2.92857,0.91366
2.96429,0.91416
3.00000,0.91187
3.03571,0.90498
3.07143,0.89964
3.10714,0.89980
3.14286,0.89570
3.17857,0.88474
3.21429,0.88962
3.25000,0.89251
3.28571,0.88867
3.32143,0.87479
3.35714,0.86522
3.39286,0.86372
3.42857,0.86461
3.46429,0.85985
3.50000,0.85294
3.53571,0.83669
3.57143,0.81850
3.60714,0.82816
3.64286,0.83825
3.67857,0.69307
3.71429,0.32467
3.75000,0.05234
3.78571,0.01122
3.82143,0.03351
3.85714,0.03528
3.89286,0.02829
3.92857,0.01898
3.96429,0.01148
4.00000,0.00778
4.03571,0.01394
4.07143,0.01099
4.10714,0.00989
4.14286,0.00775
4.17857,0.00391
4.21429,0.00293
4.25000,-0.00450
4.28571,-0.00603
4.32143,-0.00514
4.35714,-0.00649
4.39286,-0.00458
4.42857,-0.00774
4.46429,-0.00780
4.50000,-0.00856
4.53571,-0.01143
4.57143,-0.01337
4.60714,-0.01471
4.64286,-0.01196
4.67857,-0.01350
4.71429,-0.01290
4.75000,-0.00953
4.78571,-0.01750
4.82143,-0.01653
4.85714,-0.01717
4.89286,-0.01535
4.92857,-0.01996
4.96429,-0.02263
5.00000,-0.01889
5.03571,-0.01646
5.07143,-0.01610
5.10714,-0.02123
5.14286,-0.02041
5.17857,-0.01977
5.21429,-0.02007
5.25000,-0.02389
5.28571,-0.02384
5.32143,-0.02164
5.35714,-0.03279
