Radius_[mm],Normalized_Integrated_Intensity
0.03571,1.06661
0.07143,1.04348
0.10714,1.06333
0.14286,1.10024
0.17857,1.09204
0.21429,1.07291
0.25000,1.05549
0.28571,1.07716
0.32143,1.10151
0.35714,1.08673
0.39286,1.09544
0.42857,1.10333
0.46429,1.08927
0.50000,1.06478
0.53571,1.06580
0.57143,1.07271
0.60714,1.07266
0.64286,1.06334
0.67857,1.06633
0.71429,1.07260
0.75000,1.07788
0.78571,1.06710
0.82143,1.06695
0.85714,1.05602
0.89286,1.05792
0.92857,1.04867
0.96429,1.04371
1.00000,1.04272
1.03571,1.05032
1.07143,1.04970
1.10714,1.05675
1.14286,1.04703
1.17857,1.02838
1.21429,1.03202
1.25000,1.03450
1.28571,1.03582
1.32143,1.03047
1.35714,1.02403
1.39286,1.02725
1.42857,1.01907
1.46429,1.02212
1.50000,1.02167
1.53571,1.01558
1.57143,1.01512
1.60714,1.01942
1.64286,1.01956
1.67857,1.00918
1.71429,1.00059
1.75000,1.00084
1.78571,1.00598
1.82143,1.00297
1.85714,0.99790
1.89286,0.99318
1.92857,0.98622
1.96429,0.98422
2.00000,0.98633
2.03571,0.98217
2.07143,0.97746
2.10714,0.98360
2.14286,0.97553
2.17857,0.97266
2.21429,0.96744
2.25000,0.96266
2.28571,0.96048
2.32143,0.96644
2.35714,0.96198
2.39286,0.95916
2.42857,0.95781
2.46429,0.94965
2.50000,0.93483
2.53571,0.93643
2.57143,0.94133
2.60714,0.94676
2.64286,0.94286
2.67857,0.93831
2.71429,0.93691
2.75000,0.93477
2.78571,0.91960
2.82143,0.92113
2.85714,0.91887
2.89286,0.92085
2.92857,0.91285
2.96429,0.91425
3.00000,0.91132
3.03571,0.90350
3.07143,0.89812
3.10714,0.89849
3.14286,0.89519
3.17857,0.88425
3.21429,0.88804
3.25000,0.89055
3.28571,0.88668
3.32143,0.87331
3.35714,0.86399
3.39286,0.86212
3.42857,0.86238
3.46429,0.85614
3.50000,0.84793
3.53571,0.82952
3.57143,0.80728
3.60714,0.80174
3.64286,0.79063
3.67857,0.66487
3.71429,0.39322
3.75000,0.14189
3.78571,0.04144
3.82143,0.04026
3.85714,0.03856
3.89286,0.03112
3.92857,0.02144
3.96429,0.01354
4.00000,0.00831
4.03571,0.01436
4.07143,0.01158
4.10714,0.01044
4.14286,0.00830
4.17857,0.00482
4.21429,0.00366
4.25000,-0.00360
4.28571,-0.00549
4.32143,-0.00448
4.35714,-0.00607
4.39286,-0.00485
4.42857,-0.00674
4.46429,-0.00623
4.50000,-0.00801
4.53571,-0.01117
4.57143,-0.01327
4.60714,-0.01403
4.64286,-0.01153
4.67857,-0.01307
4.71429,-0.01183
4.75000,-0.00922
4.78571,-0.01737
4.82143,-0.01558
4.85714,-0.01660
4.89286,-0.01565
4.92857,-0.02026
4.96429,-0.02214
5.00000,-0.01782
5.03571,-0.01562
5.07143,-0.01554
5.10714,-0.02045
5.14286,-0.02001
5.17857,-0.01867
5.21429,-0.01929
5.25000,-0.02358
5.28571,-0.02272
5.32143,-0.02057
5.35714,-0.03207
